价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6100,84,143297-A,2室1卫,9/21层,昌平区,回龙观东大街,紫金新干线四期,地铁：距8号线回龙观东大街站1400米
2920,15,143312-A,4室1卫,2/6层,朝阳区,星火,姚家园西里5号院,"地铁：距3号线,20号线星火站600米"
,,,,,,,,
2840,11,132672-C,4室1卫,20/24层,西城区,广安门内,南线阁37号院,地铁：距7号线广安门内站600米
5550,52,147541-A,1室1卫,6/7层,朝阳区,成寿寺,静馨嘉苑,地铁：距10号线成寿寺站400米
3920,54,147935-A,1室1卫,11/15层,顺义区,花梨坎,天裕昕园,地铁：距15号线花梨坎站2550米
,,,,,,,,
2840,20,149941-C,5室2卫,1/5层,顺义区,后沙峪,双裕花园东区,地铁：距15号线后沙峪站950米
2020,9,150816-B,3室1卫,3/6层,通州区,通州北关,永顺南里1号院,地铁：距6号线通州北关站850米
3590,15,155906-D,4室1卫,1/12层,东城区,安德里北街,六铺炕,地铁：距8号线安德里北街站550米
1720,7,151262-B,2室1卫,5/6层,大兴区,黄村火车站,义和庄北里,地铁：距4号线大兴线黄村火车站站600米
2150,12,14577-A,3室1卫,5/22层,通州区,物资学院路,悦澜水岸家园,地铁：距6号线物资学院路站2350米
,,,,,,,,
1720,14,18529-B,4室1卫,4/6层,顺义区,顺义,双兴北区,地铁：距15号线顺义站1250米
1860,19,21623-B,3室1卫,2/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
1840,11,21835-C,3室1卫,6/6层,通州区,次渠,府东苑,"地铁：距亦庄线,17号线次渠站1150米"
,,,,,,,,
3210,24,21506-D,4室1卫,4/7层,朝阳区,成寿寺,成寿寺路95号楼,地铁：距10号线成寿寺站250米
3510,9,22398-A,3室1卫,8/18层,朝阳区,金台夕照,关东店南街,地铁：距10号线金台夕照站300米
2050,12,21725-A,3室1卫,2/18层,通州区,次渠南,次渠南里,地铁：距亦庄线次渠南站700米
1960,8,21559-B,4室1卫,6/28层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2340,10,23909-E,5室1卫,6/28层,昌平区,天通苑,天通苑西三区,地铁：距5号线天通苑站350米
1720,9,24330-C,3室1卫,5/6层,通州区,通州北关,K2清水湾,地铁：距6号线通州北关站1950米
2070,10,25791-C,3室1卫,1/10层,朝阳区,双桥,东柳西里,地铁：距八通线双桥站900米
1590,8,28371-E,5室1卫,3/6层,顺义区,顺义,双兴南区,地铁：距15号线顺义站1000米
2530,17,28803-C,4室1卫,19/23层,通州区,通州北关,富力惠兰美居,地铁：距6号线通州北关站3100米
2180,12,31323-B,2室1卫,5/5层,朝阳区,双桥,东柳西里,地铁：距八通线双桥站900米
1310,7,33133-B,4室1卫,3/9层,房山区,阎村,天恒乐活城,地铁：距燕房线阎村站200米
2590,16,31984-C,3室1卫,22/28层,朝阳区,小红门,鸿博家园二期F区,地铁：距亦庄线小红门站550米
2480,10,35164-B,3室1卫,14/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2450,12,36529-B,3室1卫,4/6层,朝阳区,褡裢坡,福怡苑,地铁：距6号线褡裢坡站950米
1640,8,36614-B,4室1卫,5/6层,大兴区,枣园,滨河西里,地铁：距4号线大兴线枣园站650米
1840,11,37159-B,3室1卫,21/21层,通州区,通运门,京贸家园,地铁：距6号线通运门站2650米
3550,21,37886-A,3室1卫,2/6层,丰台区,刘家窑,刘家窑南里,地铁：距5号线刘家窑站500米
3150,13,35122-B,4室1卫,24/24层,海淀区,西二旗,智学苑,"地铁：距13号线,昌平线西二旗站450米"
2930,11,3689-B,3室1卫,31/31层,朝阳区,青年路,国美第一城东区,地铁：距6号线青年路站1050米
,,,,,,,,
1510,15,41437-A,3室1卫,6/10层,房山区,良乡大学城,东羊庄新村,地铁：距房山线良乡大学城站1200米
,,,,,,,,
2920,16,38299-A,3室1卫,21/28层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米
1860,12,46704-B,4室1卫,11/12层,通州区,北运河西,加华印象街,地铁：距6号线北运河西站1250米
1680,9,43421-C,3室1卫,17/18层,顺义区,花梨坎,天裕昕园西区,地铁：距15号线花梨坎站2750米
3840,45,48063-A,1室1卫,18/19层,通州区,次渠,次渠嘉园七区,"地铁：距亦庄线,17号线次渠站800米"
2200,17,48753-B,3室1卫,5/11层,顺义区,南法信,马可汇,地铁：距15号线南法信站900米
2640,11,50583-C,3室1卫,1/6层,朝阳区,大屯路东,六王坟甲2号院,"地铁：距5号线,15号线大屯路东站1350米"
2790,14,51928-C,3室1卫,15/19层,丰台区,首经贸,首经贸中街1号院,"地铁：距10号线,房山线首经贸站450米"
3470,25,52423-C,4室1卫,3/4层,丰台区,樊羊路,亿城天筑,"地铁：距9号线,房山线郭公庄站1000米"
2170,10,5208-A,3室1卫,2/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
1850,11,54304-B,2室1卫,15/25层,门头沟区,栗园庄,惠润嘉园,地铁：距S1线栗园庄站300米
2280,14,53582-A,3室1卫,3/15层,顺义区,石门,前进花园牡丹苑,地铁：距15号线石门站300米
2740,8,54028-C,3室1卫,4/6层,西城区,陶然亭,右安门内西街甲10号院,地铁：距4号线大兴线陶然亭站1450米
2930,16,58248-C,4室1卫,16/21层,丰台区,丽泽商务区,蓝调国际公馆,"地铁：距7号线,16号线达官营站2050米"
2950,11,5842-B,3室1卫,14/28层,昌平区,龙泽,回龙观新村东区,"地铁：距13号线,昌平线西二旗站1250米"
2970,19,61359-A,3室1卫,2/20层,丰台区,石榴庄,康泽园,地铁：距10号线石榴庄站600米
,,,,,,,,
,,,,,,,,
3730,17,70381-A,3室1卫,1/7层,朝阳区,团结湖,农展南里,"地铁：距3号线,10号线团结湖站250米"
2820,17,74728-B,2室1卫,3/6层,丰台区,大红门南,大红门东后街143号,地铁：距8号线南段大红门南站450米
1870,11,75859-A,4室1卫,5/16层,顺义区,花梨坎,天裕昕园,地铁：距15号线花梨坎站2550米
2050,12,79456-C,4室1卫,1/5层,大兴区,高米店南,兴涛社区,地铁：距4号线大兴线高米店南站600米
2430,12,849-C,3室1卫,5/18层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
1800,11,114617-C,3室1卫,5/6层,大兴区,黄村火车站,车站北里,地铁：距4号线大兴线黄村火车站站600米
1950,9,116806-E,5室1卫,25/28层,大兴区,枣园,红木林,地铁：距4号线大兴线枣园站550米
,,,,,,,,
,,,,,,,,
,,,,,,,,
1930,12,128768-A,4室1卫,5/8层,大兴区,清源路,兴华园,地铁：距4号线大兴线清源路站600米
1620,10,132910-C,6室2卫,5/6层,通州区,北运河西,运乔嘉园,地铁：距6号线北运河西站1000米
3160,12,133276-B,3室1卫,18/18层,海淀区,上地,清上园,地铁：距13号线上地站1050米
1290,10,135257-A,3室1卫,1/9层,房山区,良乡大学城,东羊庄新村,地铁：距房山线良乡大学城站1200米
2250,10,135585-C,3室1卫,1/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
4000,18,129631-B,2室1卫,3/14层,朝阳区,国贸,建国路100号,"地铁：距1号线,10号线国贸站550米"
2860,25,12229-B,3室1卫,5/6层,朝阳区,黄渠,常营民族家园G区,地铁：距6号线黄渠站1000米
2070,10,138704-C,3室1卫,5/11层,朝阳区,小红门,鸿博家园一期C区,地铁：距亦庄线小红门站1400米
2250,18,142922-B,2室1卫,4/6层,通州区,北运河西,三元村小区,地铁：距6号线北运河西站1100米
2290,9,139430-C,3室1卫,3/6层,海淀区,西北旺,颐和山庄亮甲园,地铁：距16号线西北旺站1350米
,,,,,,,,
2980,15,146347-A,3室1卫,2/18层,通州区,果园,世纪星城,地铁：距八通线果园站950米
2120,12,146754-B,3室1卫,4/12层,通州区,北运河西,加华印象街,地铁：距6号线北运河西站1250米
2400,11,148945-B,3室1卫,8/24层,丰台区,郭庄子,万科中粮假日风景,地铁：距14号线西段郭庄子站400米
3170,13,151419-B,2室1卫,3/6层,丰台区,六里桥东,太平桥西里,地铁：距9号线六里桥东站300米
2400,9,152876-A,2室1卫,1/25层,通州区,梨园,新城嘉园（通州）,地铁：距八通线梨园站550米
2910,11,149612-B,2室1卫,23/25层,通州区,北运河西,运河湾北区,地铁：距6号线北运河西站600米
,,,,,,,,
2600,9,154552-A,2室1卫,1/18层,丰台区,北京南站,玉林东里一区,"地铁：距4号线大兴线,14号线东段北京南站站1400米"
1430,5,17386-C,4室1卫,8/28层,大兴区,生物医药基地,住总正华多彩嘉园,地铁：距4号线大兴线生物医药基地站400米
2030,7,2184-B,3室1卫,18/18层,昌平区,回龙观东大街,紫金新干线四期,地铁：距8号线回龙观东大街站1400米
3660,12,23836-B,3室1卫,14/28层,朝阳区,望京西,湖光壹号,"地铁：距13号线,15号线望京西站550米"
3070,8,348-B,2室1卫,2/5层,东城区,广渠门内,安化北里,地铁：距7号线广渠门内站150米
,,,,,,,,
,,,,,,,,
2520,17,28038-C,3室1卫,5/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
3060,9,2588-A,3室1卫,6/6层,海淀区,上地,上地东里,地铁：距13号线上地站700米
,,,,,,,,
3110,9,29047-B,2室1卫,2/6层,朝阳区,和平西桥,胜古南里,地铁：距5号线和平西桥站450米
1960,12,29673-D,4室1卫,4/18层,通州区,高楼金,瑞都公园世家南区,地铁：距7号线高楼金站500米
,,,,,,,,
2390,10,30630-A,2室1卫,12/17层,大兴区,瀛海,南海家园二里,地铁：距亦庄线荣昌东街站3500米
2340,10,30780-A,3室1卫,3/27层,朝阳区,小红门,鸿博家园一期B区,地铁：距亦庄线小红门站1250米
2300,14,30551-B,2室1卫,4/5层,丰台区,火箭万源,万源东里,地铁：距8号线南段火箭万源站700米
,,,,,,,,
1430,9,29550-E,5室1卫,2/8层,通州区,通州北关,珠江国际城八区,地铁：距6号线通州北关站2050米
2330,13,3114-B,3室1卫,7/18层,朝阳区,孙河,康营小区,地铁：距15号线孙河站1000米
2690,12,34003-D,4室1卫,9/14层,海淀区,莲花桥,华宝公寓,地铁：距10号线莲花桥站750米
1970,17,34567-C,3室1卫,3/6层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
2300,9,35546-B,4室1卫,7/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
1720,15,38738-B,3室1卫,9/11层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米
,,,,,,,,
2710,20,36519-B,3室1卫,1/6层,朝阳区,褡裢坡,定福庄北里2号院,地铁：距6号线褡裢坡站750米
2780,21,42373-B,2室1卫,5/5层,通州区,通州北苑,通惠南路,地铁：距八通线通州北苑站650米
,,,,,,,,
1660,9,51503-C,3室1卫,4/6层,顺义区,顺义,东兴一区,地铁：距15号线顺义站400米
2260,11,52407-B,3室1卫,1/13层,顺义区,后沙峪,海航国兴城,地铁：距15号线后沙峪站1000米
1960,10,53867-A,3室1卫,1/14层,朝阳区,平房村,金泽家园A区,地铁：距3号线平房村站1500米
2460,10,522-B,4室1卫,8/25层,朝阳区,成寿寺,方庄南路18号院,地铁：距10号线成寿寺站700米
3750,21,56729-B,4室1卫,7/10层,朝阳区,阜通,都市心海岸,地铁：距14号线东段阜通站450米
1800,9,60095-B,2室1卫,6/6层,顺义区,后沙峪,后沙峪新村,地铁：距15号线后沙峪站2250米
,,,,,,,,
3650,15,64476-B,2室1卫,12/12层,朝阳区,光熙门,西坝河中里,地铁：距13号线光熙门站900米
3600,20,66324-B,3室1卫,4/6层,海淀区,五棵松,复兴路32号院,地铁：距1号线五棵松站500米
3240,13,74353-A,3室1卫,4/8层,朝阳区,青年路,珠江罗马嘉园西区,地铁：距6号线青年路站500米
2060,16,77183-A,2室1卫,2/5层,大兴区,清源路,富强东里,地铁：距4号线大兴线清源路站850米
2630,15,78684-A,3室1卫,8/30层,朝阳区,垡头,垡头翠城馨园北区,地铁：距7号线垡头站650米
3240,13,79954-A,3室1卫,4/6层,海淀区,马连洼,天秀花园澄秀园,地铁：距16号线马连洼站600米
2200,10,8096-B,3室1卫,10/11层,朝阳区,孙河,康营小区15区,地铁：距15号线孙河站1050米
2080,9,8572-B,4室1卫,3/18层,朝阳区,焦化厂,燕保祈东家园一期,地铁：距7号线焦化厂站450米
2300,8,9570-B,4室1卫,8/23层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2320,15,114467-A,2室1卫,11/20层,通州区,高楼金,高楼金第,地铁：距7号线高楼金站250米
1560,8,114541-A,4室1卫,3/6层,通州区,北运河西,西上园三区,地铁：距6号线北运河西站900米
1970,14,115878-C,3室1卫,4/18层,顺义区,花梨坎,天裕昕园西区,地铁：距15号线花梨坎站2750米
1790,10,119307-A,3室1卫,5/6层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
3230,10,121082-B,2室1卫,1/6层,朝阳区,三元桥,静安东里,"地铁：距10号线,12号线,机场线三元桥站550米"
,,,,,,,,
3450,8,122751-B,3室1卫,2/6层,海淀区,五道口,中国地质大学家属院,地铁：距13号线五道口站400米
1940,18,122164-A,3室1卫,12/12层,房山区,篱笆房,清雅小区,地铁：距房山线篱笆房站850米
3050,14,11152-A,5室1卫,10/10层,海淀区,西二旗,领秀硅谷,"地铁：距13号线,昌平线西二旗站950米"
2680,17,127908-A,2室1卫,3/6层,朝阳区,八里桥,八里桥南街,地铁：距八通线八里桥站600米
1740,11,127878-B,3室1卫,3/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
2510,18,127878-C,3室1卫,3/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
1790,10,130859-A,3室1卫,5/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
2020,11,130859-B,3室1卫,5/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
1890,10,135944-A,4室1卫,18/20层,顺义区,顺义,金汉绿港三区,地铁：距15号线顺义站650米
3920,19,137661-A,2室1卫,2/5层,朝阳区,金台路,水碓子社区,"地铁：距6号线,14号线东段金台路站650米"
,,,,,,,,
,,,,,,,,
2890,15,143312-B,4室1卫,2/6层,朝阳区,星火,姚家园西里5号院,"地铁：距3号线,20号线星火站600米"
,,,,,,,,
2110,10,145005-B,2室1卫,4/6层,通州区,梨园,公庄小区,地铁：距八通线梨园站1200米
,,,,,,,,
6730,70,148771-A,2室1卫,9/21层,丰台区,纪家庙,亿朋苑三区,地铁：距10号线纪家庙站350米
4230,18,150490-B,2室1卫,17/23层,朝阳区,将台,丽都职工宿舍,地铁：距14号线东段将台站750米
2610,7,152306-B,3室1卫,5/6层,海淀区,上地,金隅美和园,地铁：距13号线上地站250米
,,,,,,,,
2870,15,155533-A,3室1卫,3/6层,昌平区,龙泽,北郊农场宿舍,地铁：距13号线龙泽站900米
,,,,,,,,
3450,16,157439-A,2室0卫,3/6层,丰台区,北京南站,马家堡路8号院,"地铁：距4号线大兴线,14号线东段北京南站站600米"
2240,10,158859-A,3室1卫,11/11层,通州区,果园,金源泉,地铁：距八通线果园站150米
2450,10,14305-B,3室1卫,10/28层,朝阳区,黄渠,泰福苑三区,地铁：距6号线黄渠站500米
2000,12,14567-A,4室1卫,10/15层,顺义区,石门,当代北辰悦moma,地铁：距15号线石门站850米
1830,7,9796-A,4室1卫,1/10层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米
2340,12,19444-C,3室1卫,9/11层,朝阳区,孙河,康营小区12区,地铁：距15号线孙河站900米
3360,10,1683-B,3室1卫,6/27层,朝阳区,东湖渠,望京花园东区,地铁：距14号线东段东湖渠站700米
2850,8,20994-A,3室1卫,1/28层,海淀区,西二旗,回龙观新村西区,"地铁：距13号线,昌平线西二旗站1050米"
2090,10,20869-A,3室2卫,5/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
2560,11,19226-A,3室1卫,5/21层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
3620,21,2211-A,2室0卫,9/18层,昌平区,回龙观东大街,紫金新干线四期,地铁：距8号线回龙观东大街站1400米
2170,8,21567-B,3室1卫,7/28层,朝阳区,黄渠,泰福苑三区,地铁：距6号线黄渠站500米
2250,21,22581-C,4室1卫,4/6层,顺义区,顺义,裕龙西区,地铁：距15号线顺义站1000米
5340,39,24429-A,1室1卫,6/6层,丰台区,刘家窑,南方庄小区,地铁：距5号线刘家窑站950米
,,,,,,,,
,,,,,,,,
2370,11,30461-B,3室1卫,5/28层,朝阳区,东坝中街,首开畅颐园,地铁：距14号线东段将台站3500米
2220,12,32700-A,4室1卫,28/28层,朝阳区,小红门,鸿博家园二期D区,地铁：距亦庄线小红门站450米
2050,12,31916-C,3室1卫,1/18层,朝阳区,平房村,金泽家园A区,地铁：距3号线平房村站1500米
1880,9,33067-C,3室1卫,4/6层,通州区,九棵树,西营前街,地铁：距6号线北运河西站1900米
1580,7,33002-A,4室1卫,7/20层,丰台区,张郭庄,红山郡,地铁：距14号线西段张郭庄站1750米
2400,11,35092-C,3室1卫,10/15层,大兴区,西红门,世嘉博苑,地铁：距4号线大兴线西红门站250米
2350,16,36454-C,4室1卫,3/6层,通州区,高楼金,瑞都公园世家北区,地铁：距7号线高楼金站650米
,,,,,,,,
3560,39,41701-A,1室1卫,20/26层,通州区,高楼金,高楼金第,地铁：距7号线高楼金站250米
,,,,,,,,
2420,11,44379-B,3室1卫,2/6层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
2500,10,46636-A,2室1卫,16/22层,石景山区,八角游乐园,六合园,地铁：距1号线八角游乐园站1150米
2630,11,47257-A,4室1卫,27/33层,朝阳区,传媒大学,珠江绿洲家园,地铁：距八通线传媒大学站550米
2510,12,4574-B,3室1卫,2/10层,朝阳区,褡裢坡,天泰苑新村三期,地铁：距6号线褡裢坡站550米
2830,11,50122-A,2室1卫,14/14层,丰台区,角门东,西马场北里,地铁：距10号线角门东站350米
2160,9,51644-B,3室1卫,8/12层,朝阳区,黄渠,汇鸿家园,地铁：距6号线黄渠站900米
2620,8,54620-A,3室1卫,9/10层,海淀区,永丰南,永旺家园一区,地铁：距16号线永丰南站250米
,,,,,,,,
3450,20,57684-A,2室1卫,2/6层,朝阳区,潘家园,潘家园东里,地铁：距10号线潘家园站700米
2210,13,62291-C,3室1卫,4/11层,顺义区,国展,翠竹新村,地铁：距15号线国展站1800米
2820,19,60893-A,3室1卫,3/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
2700,14,63050-A,2室1卫,14/18层,石景山区,八宝山,永乐小区,地铁：距1号线八宝山站800米
2660,18,6288-D,4室1卫,2/15层,顺义区,花梨坎,满庭芳嘉园,地铁：距15号线花梨坎站850米
2040,8,57346-B,3室1卫,11/30层,丰台区,郭庄子,同馨家园,地铁：距14号线西段郭庄子站1500米
2430,11,6966-D,4室1卫,13/28层,朝阳区,垡头,垡头翠城馨园南区,地铁：距7号线垡头站850米
3650,48,72277-A,1室1卫,6/17层,大兴区,清源路,清源佳园,地铁：距4号线大兴线清源路站1300米
1700,7,73550-B,2室1卫,2/6层,顺义区,顺义,东兴二区,地铁：距15号线顺义站800米
2690,11,75732-B,3室1卫,22/29层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
2980,16,8180-B,3室1卫,14/18层,朝阳区,潘家园,潘家园东里,地铁：距10号线潘家园站700米
2990,13,80646-C,3室1卫,3/6层,海淀区,五棵松,太平路42号院,地铁：距1号线五棵松站1000米
2680,14,8890-C,3室1卫,12/29层,朝阳区,常营,保利嘉园3号院,地铁：距6号线常营站800米
,,,,,,,,
1960,23,119307-B,3室1卫,5/6层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
6500,94,126666-A,2室1卫,1/17层,朝阳区,成寿寺,小红门路65号院,地铁：
4020,17,127209-B,2室1卫,1/6层,朝阳区,健德门,小关街,地铁：距10号线健德门站350米
2660,22,1077-C,4室1卫,2/18层,朝阳区,肖村,中海城圣朝菲,地铁：距亦庄线肖村站600米
,,,,,,,,
2890,9,136368-A,3室1卫,5/6层,朝阳区,望京,南湖中园小区,"地铁：距14号线东段,15号线望京站700米"
3570,16,136368-C,3室1卫,5/6层,朝阳区,望京,南湖中园小区,"地铁：距14号线东段,15号线望京站700米"
2600,8,143846-A,2室1卫,2/18层,丰台区,北京南站,翠林一里,"地铁：距4号线大兴线,14号线东段北京南站站850米"
2780,9,142909-B,2室1卫,5/6层,海淀区,永泰庄,永泰庄6号院,地铁：距8号线永泰庄站650米
,,,,,,,,
6100,54,149075-A,2室1卫,2/6层,海淀区,五棵松,永定路东街5号院,地铁：距1号线五棵松站700米
1760,14,150822-B,2室1卫,5/6层,大兴区,黄村火车站,海子角西里,地铁：距4号线大兴线黄村火车站站1200米
2870,11,13403-C,3室1卫,6/33层,丰台区,宋家庄,鲁能榴景秀苑,"地铁：距5号线,10号线,亦庄线宋家庄站550米"
3420,18,153331-A,3室1卫,15/24层,朝阳区,北工大西门,南新园,地铁：距14号线东段北工大西门站600米
,,,,,,,,
2490,13,1598-C,5室1卫,8/28层,朝阳区,青年路,甘露家园,地铁：距6号线青年路站700米
2060,10,17237-C,3室1卫,13/28层,大兴区,生物医药基地,住总正华多彩嘉园,地铁：距4号线大兴线生物医药基地站400米
2170,9,2104-B,3室1卫,5/18层,昌平区,回龙观东大街,紫金新干线四期,地铁：距8号线回龙观东大街站1400米
2100,9,22276-B,3室1卫,10/13层,朝阳区,东坝中街,金泽家园B区,地铁：距6号线褡裢坡站3700米
4970,33,20287-A,1室1卫,2/10层,朝阳区,北苑,北京青年城,地铁：距13号线北苑站1400米
,,,,,,,,
2160,10,25462-A,3室1卫,5/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
2420,11,2530-B,3室1卫,12/28层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
2750,15,2630-B,4室1卫,14/24层,丰台区,石榴庄,慧时欣园,地铁：距10号线石榴庄站200米
1490,13,27019-B,3室1卫,1/10层,房山区,广阳城,原香小镇一区,地铁：距房山线广阳城站2050米
2410,11,27282-A,2室1卫,4/27层,朝阳区,小红门,鸿博家园二期D区,地铁：距亦庄线小红门站450米
2880,13,300-D,4室1卫,8/18层,朝阳区,潘家园,潘家园小区,地铁：距10号线潘家园站1000米
,,,,,,,,
3260,14,30566-B,4室1卫,2/6层,海淀区,马连洼,菊园,地铁：距13号线上地站2500米
,,,,,,,,
1940,14,30968-B,4室1卫,5/18层,丰台区,张郭庄,红山郡,地铁：距14号线西段张郭庄站1750米
1900,31,33339-F,6室2卫,6/7层,通州区,通州北关,新华北路59号院,地铁：距6号线通州北关站500米
2370,18,35220-B,3室1卫,5/6层,大兴区,高米店北,金惠园三里,地铁：距4号线大兴线高米店北站550米
2130,10,3449-A,4室1卫,16/16层,朝阳区,管庄,管庄新村,地铁：距八通线管庄站600米
2400,12,36459-E,5室2卫,17/18层,石景山区,古城,中海金石公馆,地铁：距1号线古城站1000米
1510,9,37633-C,3室1卫,3/10层,通州区,通州北关,珠江丽景家园,地铁：距6号线通州北关站2300米
,,,,,,,,
2680,11,40858-B,3室1卫,19/29层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
1720,16,43617-A,3室1卫,10/15层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米
