价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2700,8,4013-A,4室1卫,9/11层,海淀区,农大南路,肖家河新村西区,地铁：距4号线大兴线安河桥北站1250米
2640,11,47239-A,2室1卫,3/16层,顺义区,花梨坎,枫泉花园,地铁：距15号线花梨坎站700米
2340,12,4668-C,4室1卫,5/18层,朝阳区,传媒大学,定福庄西街,地铁：距八通线传媒大学站350米
2940,13,50010-A,2室1卫,4/6层,丰台区,北京南站,洋桥北里,"地铁：距4号线大兴线,14号线东段北京南站站300米"
2100,13,46708-A,3室1卫,1/4层,昌平区,朱辛庄,豆各庄新村,"地铁：距昌平线,8号线朱辛庄站1350米"
2850,13,51543-B,4室1卫,5/9层,丰台区,首经贸,万年花城二期,"地铁：距10号线,房山线首经贸站350米"
2250,15,53261-C,3室1卫,4/7层,通州区,九棵树,景欣园,地铁：距八通线九棵树站450米
2780,8,53221-C,4室1卫,4/6层,海淀区,西北旺,春晖园,"地铁：距13号线,昌平线西二旗站3200米"
,,,,,,,,
2610,10,53651-A,3室1卫,24/24层,朝阳区,黄渠,泰福苑三区,地铁：距6号线黄渠站500米
1820,10,53582-B,3室1卫,3/15层,顺义区,石门,前进花园牡丹苑,地铁：距15号线石门站300米
2770,12,54480-B,2室1卫,25/29层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
3010,12,55639-C,3室1卫,12/28层,昌平区,龙泽,金域华府,"地铁：距13号线,昌平线西二旗站1350米"
1670,10,55188-B,4室1卫,5/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
,,,,,,,,
1450,5,63834-C,6室2卫,6/7层,通州区,物资学院路,富河园,地铁：距6号线物资学院路站1250米
2510,12,61929-C,3室1卫,4/6层,丰台区,石榴庄,康泽园,地铁：距10号线石榴庄站600米
2530,8,65857-D,4室1卫,4/10层,海淀区,永丰南,永旺家园一区,地铁：距16号线永丰南站250米
2510,15,6714-B,3室1卫,6/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
2880,12,6706-A,4室1卫,18/18层,朝阳区,太阳宫,西坝河东里,"地铁：距10号线,17号线太阳宫站700米"
3140,9,69524-C,3室1卫,4/6层,朝阳区,望京南,花家地南里,地铁：距14号线东段望京南站1100米
2540,12,675-A,3室1卫,16/21层,朝阳区,星火,姚家园东里8号院,"地铁：距3号线,20号线星火站800米"
2880,15,76472-C,3室1卫,2/4层,海淀区,育新,新康园,地铁：距8号线育新站600米
,,,,,,,,
1940,9,77452-A,4室1卫,16/21层,朝阳区,小红门,鸿博家园一期B区,地铁：距亦庄线小红门站1250米
,,,,,,,,
3060,13,79954-C,3室1卫,4/6层,海淀区,马连洼,天秀花园澄秀园,地铁：距16号线马连洼站600米
,,,,,,,,
2100,10,8163-A,4室1卫,2/12层,朝阳区,常营,优点社区,地铁：距6号线常营站1050米
,,,,,,,,
2610,11,120028-B,3室1卫,8/12层,丰台区,宋家庄,怡和世家,"地铁：距5号线,10号线,亦庄线宋家庄站950米"
3090,11,119928-B,3室1卫,5/6层,朝阳区,安贞门,安贞里一区,地铁：距10号线安贞门站300米
1640,10,122041-B,4室1卫,3/10层,丰台区,东高地,蓝天怡景,地铁：距8号线南段东高地站1450米
1390,12,122324-A,3室1卫,1/6层,房山区,良乡大学城西,玉竹园,地铁：距房山线良乡大学城西站400米
1700,9,118557-B,4室1卫,5/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
1480,9,124255-A,2室1卫,9/10层,房山区,长阳,张家场小区,地铁：距房山线长阳站1300米
2150,8,125171-C,3室1卫,5/6层,丰台区,大红门,建欣苑五里,"地铁：距8号线南段,10号线大红门站650米"
1070,6,125395-A,4室1卫,2/9层,房山区,良乡大学城北,金地朗悦悦园,地铁：距房山线良乡大学城北站950米
3210,11,126749-D,5室1卫,10/26层,朝阳区,惠新西街北口,世纪嘉园,地铁：距5号线惠新西街北口站800米
2710,18,130334-A,4室1卫,19/22层,朝阳区,双合,建工双合家园,地铁：距7号线双合站350米
2020,13,136170-B,4室1卫,2/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米
,,,,,,,,
4250,89,140483-A,2室1卫,4/18层,通州区,通州北关,东潞苑,地铁：距6号线通州北关站2350米
