价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
3040,8,125953-A,3室1卫,4/6层,朝阳区,光熙门,光熙门北里,地铁：距13号线光熙门站350米
3640,18,125953-C,3室1卫,4/6层,朝阳区,光熙门,光熙门北里,地铁：距13号线光熙门站350米
1730,12,127846-A,3室1卫,5/6层,大兴区,黄村火车站,观音寺南里,地铁：距4号线大兴线黄村火车站站1500米
2870,9,129586-A,3室1卫,28/28层,朝阳区,北工大西门,周庄嘉园三期A区,地铁：距14号线东段北工大西门站1150米
,,,,,,,,
1660,11,133349-B,2室1卫,5/6层,昌平区,昌平,东关北里小区,地铁：距昌平线昌平站1000米
,,,,,,,,
2880,16,135179-C,3室1卫,2/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
2650,11,135369-D,4室1卫,16/18层,丰台区,刘家窑,芳群园四区,地铁：距5号线刘家窑站700米
3430,13,143233-A,4室1卫,2/8层,朝阳区,望京西,北京香颂,"地铁：距13号线,15号线望京西站550米"
,,,,,,,,
2540,9,145763-C,3室1卫,5/6层,海淀区,育新,常秀家园,地铁：距8号线育新站1450米
2180,13,146548-A,2室1卫,4/6层,通州区,北运河西,西上园三区,地铁：距6号线北运河西站900米
2330,18,146631-B,3室1卫,5/25层,大兴区,黄村西大街,兴政东里,地铁：距4号线大兴线黄村西大街站1000米
3970,18,147480-B,2室1卫,11/18层,朝阳区,金台路,红庙北里,"地铁：距6号线,14号线东段金台路站450米"
2050,13,147818-A,3室1卫,8/10层,丰台区,东高地,蓝天怡景,地铁：距8号线南段东高地站1450米
1840,12,153480-C,3室1卫,1/6层,通州区,梨园,云景西里南区,地铁：距八通线梨园站850米
3640,12,1559-C,3室1卫,22/28层,朝阳区,望京,望京新城,"地铁：距14号线东段,15号线望京站300米"
1300,11,17185-A,3室1卫,2/6层,房山区,良乡大学城西,阳光邑上,地铁：距房山线良乡大学城西站750米
1210,12,21603-C,4室1卫,6/6层,房山区,良乡大学城西,东关家园,地铁：距房山线良乡大学城西站1050米
2180,13,23822-B,3室1卫,3/6层,顺义区,国展,翠竹新村,地铁：距15号线国展站1800米
,,,,,,,,
1690,10,31979-B,3室1卫,6/10层,昌平区,南邵,兴昌佳苑,地铁：距昌平线南邵站1000米
