价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2380,11,50952-D,4室1卫,1/10层,丰台区,公益西桥,城南嘉园益嘉园,地铁：距4号线大兴线公益西桥站500米
2710,9,20870-A,2室1卫,21/28层,丰台区,西铁营,亚林西居住区,地铁：距14号线东段西铁营站450米
2300,13,20039-A,4室1卫,19/24层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2980,5,66407-A,2室1卫,12/24层,海淀区,车道沟,半壁街南路1号院,地铁：距10号线车道沟站650米
2860,16,78687-A,4室1卫,3/6层,东城区,陶然桥,西罗园北路15号,地铁：距14号线东段陶然桥站600米
2260,13,19047-D,4室1卫,3/24层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2860,16,14099-B,3室1卫,1/30层,丰台区,西铁营,亚林西居住区,地铁：距14号线东段西铁营站450米
2300,9,114588-C,4室1卫,13/18层,丰台区,北京南站,开阳里三区,"地铁：距4号线大兴线,14号线东段北京南站站1000米"
2130,9,23362-A,3室1卫,7/27层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2340,9,20455-B,3室1卫,25/27层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2780,13,59272-B,2室1卫,9/19层,丰台区,草桥,玉安园,"地铁：距10号线,大兴机场线草桥站800米"
3230,8,34198-B,4室1卫,3/9层,海淀区,长春桥,小南庄怡秀园,"地铁：距10号线,12号线长春桥站950米"
2980,20,149061-B,3室1卫,9/22层,昌平区,天通苑东,天通苑东二区,地铁：距17号线天通苑东站650米
2500,10,135827-A,5室2卫,15/16层,昌平区,天通苑,天通苑北一区,地铁：距5号线天通苑站350米
2670,14,2596-B,3室1卫,2/19层,昌平区,天通苑东,天通苑东三区,地铁：距5号线天通苑南站2250米
2290,12,27668-D,4室1卫,14/22层,朝阳区,小红门,鸿博家园二期D区,地铁：距亦庄线小红门站450米
2240,13,68332-C,4室1卫,5/6层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
2480,11,131950-C,3室1卫,19/28层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米
2040,11,39091-C,4室1卫,4/6层,通州区,果园,新华联家园北区,地铁：距八通线果园站500米
2220,14,7886-B,3室1卫,5/5层,朝阳区,孙河,康营小区A区,地铁：距15号线孙河站1650米
2100,12,75121-D,4室1卫,22/29层,通州区,次渠南,次渠锦园北区,地铁：距亦庄线次渠南站350米
2130,10,48892-C,4室1卫,1/6层,顺义区,国展,莲竹花园,地铁：距15号线国展站350米
2340,11,138639-D,4室2卫,10/18层,朝阳区,褡裢坡,金福家园,地铁：距6号线褡裢坡站1000米
2250,10,35946-B,3室1卫,5/19层,朝阳区,北岗子,坝鑫家园,"地铁：距12号线,平谷线北岗子站850米"
2110,13,69010-B,4室1卫,8/11层,通州区,九棵树,瑞都国际,地铁：距八通线九棵树站400米
2290,14,117014-B,3室1卫,1/20层,大兴区,亦庄桥,中信新城东区,地铁：距亦庄线荣京东街站2500米
2350,11,131734-C,4室1卫,5/6层,朝阳区,褡裢坡,定福庄北里1号院,地铁：距6号线褡裢坡站550米
2440,11,58904-C,5室1卫,2/6层,昌平区,龙泽,佰嘉城,地铁：距13号线龙泽站1300米
2260,10,73193-B,4室1卫,5/11层,石景山区,古城,古城现代嘉园,地铁：距1号线古城站1250米
2030,12,48218-A,3室1卫,9/12层,通州区,梨园,云景豪庭,地铁：距八通线梨园站600米
2440,10,35759-B,3室1卫,13/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2480,14,78948-B,3室1卫,6/11层,朝阳区,孙河,康营小区23区,地铁：距15号线孙河站1300米
2520,12,58833-B,3室1卫,2/24层,丰台区,木樨园,西罗园三区,地铁：距8号线南段木樨园站900米
2480,12,70528-C,3室1卫,2/12层,东城区,景泰,华龙美晟,地铁：距14号线东段景泰站500米
2300,10,116275-C,3室1卫,14/21层,石景山区,苹果园,西山奥园,"地铁：距1号线,6号线苹果园站1150米"
2490,13,65478-A,3室1卫,2/6层,昌平区,龙泽,龙兴园北区,地铁：距13号线龙泽站1650米
2430,11,37959-B,3室1卫,1/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2040,14,55188-C,4室1卫,5/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
2310,10,49706-B,3室1卫,10/21层,朝阳区,北岗子,坝鑫家园,"地铁：距12号线,平谷线北岗子站850米"
2010,13,43546-B,3室1卫,5/6层,通州区,梨园,云景西里,地铁：距八通线梨园站750米
2460,11,35529-B,3室1卫,10/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2050,14,38965-B,3室1卫,2/6层,通州区,梨园,云景西里,地铁：距八通线梨园站750米
2100,13,147367-C,3室1卫,3/6层,大兴区,旧宫,佳和园老区,地铁：距亦庄线旧宫站900米
2020,10,152266-B,2室1卫,2/5层,丰台区,火箭万源,万源东里,地铁：距8号线南段火箭万源站700米
3870,13,22668-A,4室1卫,8/32层,朝阳区,大望路,阳光100,"地铁：距1号线,14号线东段大望路站400米"
2670,18,45436-C,3室1卫,4/6层,丰台区,纪家庙,万柳西园,地铁：距10号线纪家庙站850米
2300,14,19444-B,3室1卫,9/11层,朝阳区,孙河,康营小区12区,地铁：距15号线孙河站900米
2330,9,48416-C,3室1卫,17/20层,朝阳区,褡裢坡,福盈家园3号院,地铁：距6号线褡裢坡站450米
2460,12,19454-C,3室1卫,3/6层,朝阳区,草房,连心园东区,地铁：距6号线草房站500米
2740,10,32726-B,2室1卫,6/6层,丰台区,北京南站,开阳里四区,"地铁：距4号线大兴线,14号线东段北京南站站800米"
2280,12,26203-C,3室1卫,11/27层,朝阳区,小红门,鸿博家园二期F区,地铁：距亦庄线小红门站550米
2830,15,8254-B,4室1卫,4/6层,东城区,永定门外,西革新里,"地铁：距8号线南段,14号线东段永定门外站500米"
2190,13,22615-B,3室1卫,4/11层,顺义区,国展,翠竹新村,地铁：距15号线国展站1800米
2420,10,34166-A,3室1卫,9/19层,昌平区,朱辛庄,TBD万科天地,"地铁：距昌平线,8号线朱辛庄站200米"
2790,12,24184-A,3室1卫,20/28层,朝阳区,四惠东,通惠家园惠民园,"地铁：距1号线,八通线四惠东站350米"
2190,10,19308-A,3室1卫,7/18层,朝阳区,管庄,管庄新村,地铁：距八通线管庄站600米
,,,,,,,,
2320,11,35371-A,2室1卫,1/6层,大兴区,旧宫,清逸西园,地铁：距亦庄线旧宫站1550米
