,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
4771,2570,12,11507-F,6室2卫,6/6层,丰台区,六里桥,精图小区56号院,"距9号线,10号线六里桥站1250米",6,6,2,1250
4772,2720,12,138819-B,3室1卫,7/22层,朝阳区,褡裢坡,定福家园北里,距6号线褡裢坡站200米,7,22,1,200
4773,2080,13,140443-B,2室1卫,20/28层,通州区,通州北关,东潞苑,距6号线通州北关站2350米,20,28,1,2350
4774,3760,16,149074-A,2室1卫,1/6层,海淀区,永泰庄,永泰园,距8号线永泰庄站600米,1,6,1,600
4775,3140,9,149074-B,2室1卫,1/6层,海淀区,永泰庄,永泰园,距8号线永泰庄站600米,1,6,1,600
4776,2070,10,151664-A,2室1卫,4/6层,丰台区,和义,和义东里五区,距8号线南段和义站50米,4,6,1,50
4777,2250,12,152278-C,3室1卫,16/27层,通州区,次渠,次渠家园北里1区,"距亦庄线,17号线次渠站1550米",16,27,2,1550
4778,3280,14,152683-C,3室1卫,2/6层,朝阳区,十里堡,八里庄北里1号院,距6号线十里堡站100米,2,6,1,100
4779,2370,16,12983-B,4室1卫,5/25层,石景山区,杨庄,地铁古城家园,"距1号线,6号线苹果园站1300米",5,25,2,1300
4780,2740,10,25625-C,3室1卫,4/6层,海淀区,农大南路,万树园,距16号线农大南路站850米,4,6,1,850
4781,2520,12,30011-A,3室1卫,9/28层,朝阳区,小红门,鸿博家园二期D区,距亦庄线小红门站450米,9,28,1,450
4782,2440,13,32022-C,3室1卫,13/22层,朝阳区,双合,建工双合家园,距7号线双合站350米,13,22,1,350
4783,3990,30,11598-A,3室1卫,8/31层,朝阳区,传媒大学,珠江绿洲家园,距八通线传媒大学站550米,8,31,1,550
4784,2400,11,12069-C,4室1卫,9/15层,昌平区,回龙观东大街,紫金新干线一期,距8号线回龙观东大街站1350米,9,15,1,1350
4785,3690,27,149022-A,2室1卫,2/6层,石景山区,八宝山,鲁谷村,距1号线八宝山站750米,2,6,1,750
4786,2030,11,150862-C,3室1卫,4/6层,顺义区,石门,西辛南区,距15号线石门站450米,4,6,1,450
4787,2630,9,150117-C,3室1卫,3/18层,朝阳区,立水桥南,溪城家园,距5号线立水桥南站1100米,3,18,1,1100
4788,2700,16,152632-B,2室1卫,23/24层,昌平区,昌平,新新公寓,距昌平线昌平站400米,23,24,1,400
