,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
0,1330,9,38738-A,3室1卫,9/11层,房山区,良乡大学城西,紫汇家园,距房山线良乡大学城西站550米,9,11,1,550
1,5810,39,64752-A,1室1卫,9/12层,东城区,广渠门内,绿景苑,距7号线广渠门内站650米,9,12,1,650
2,4820,36,65359-A,1室1卫,1/6层,东城区,景泰,定安里,距14号线东段景泰站450米,1,6,1,450
3,1850,9,185-B,4室2卫,2/27层,朝阳区,管庄,京通苑阳光华苑,距八通线管庄站500米,2,27,1,500
4,9000,116,17830-A,2室1卫,8/16层,朝阳区,十里堡,天天朝阳,距6号线十里堡站850米,8,16,1,850
5,1720,9,30651-B,4室1卫,10/28层,通州区,土桥,华远铭悦,距八通线土桥站950米,10,28,1,950
6,1790,10,81486-C,5室2卫,1/6层,朝阳区,八里桥,西马庄园,距八通线八里桥站1150米,1,6,1,1150
7,5140,49,23104-A,1室1卫,2/18层,丰台区,海户屯,西罗园南里,距8号线南段海户屯站650米,2,18,1,650
8,2260,13,9832-B,3室1卫,8/16层,朝阳区,管庄,众亿嘉园,距八通线管庄站800米,8,16,1,800
9,4400,56,16256-A,1室1卫,8/22层,通州区,物资学院路,悦澜水岸家园,距6号线物资学院路站2350米,8,22,1,2350
10,2700,9,73992-B,2室1卫,11/12层,丰台区,刘家窑,南三环东路,距5号线刘家窑站150米,11,12,1,150
11,2320,9,2331-A,3室1卫,3/26层,朝阳区,高碑店,金隅汇星苑,距6号线青年路站1450米,3,26,1,1450
12,2700,10,8123-D,4室1卫,4/13层,朝阳区,青年路,青年汇佳园,距6号线青年路站250米,4,13,1,250
13,2590,10,22010-C,4室2卫,22/26层,朝阳区,四惠东,都市经典家园,"距1号线,八通线四惠东站700米",22,26,2,700
14,1470,11,23724-A,3室1卫,2/6层,通州区,通州北关,刘庄新村,距6号线通州北关站2700米,2,6,1,2700
15,1860,9,25745-C,3室1卫,16/22层,朝阳区,东坝中街,北京城建福润四季,距3号线东坝中街站2800米,16,22,1,2800
16,3440,18,124815-E,6室2卫,9/9层,朝阳区,朝阳门,大方家胡同,"距2号线,6号线朝阳门站650米",9,9,2,650
17,1790,10,19708-A,5室1卫,20/20层,通州区,九棵树,龙湖蔚澜香醍,距八通线果园站1050米,20,20,1,1050
18,7360,88,29612-A,2室1卫,4/28层,朝阳区,潘家园,潘家园南里,距10号线潘家园站950米,4,28,1,950
19,1450,12,146745-C,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,距房山线良乡大学城西站350米,5,6,1,350
20,1740,11,33621-A,3室1卫,6/6层,顺义区,石门,前进花园石门苑,距15号线石门站800米,6,6,1,800
21,2460,11,68894-B,3室1卫,21/29层,朝阳区,青年路,金隅泰和园,距6号线青年路站1250米,21,29,1,1250
22,5170,47,64760-A,1室1卫,4/24层,丰台区,木樨园,珠江骏景北区,距8号线南段木樨园站550米,4,24,1,550
23,1910,10,59863-A,4室1卫,8/15层,朝阳区,管庄,远洋一方润园6号院,距八通线管庄站700米,8,15,1,700
24,4400,44,79816-A,1室1卫,26/28层,通州区,通州北关,财富东方,距6号线通州北关站800米,26,28,1,800
25,1950,13,69100-B,5室2卫,22/24层,朝阳区,八里桥,长桥园公寓,距八通线八里桥站650米,22,24,1,650
26,5480,46,11023-A,1室1卫,5/6层,朝阳区,平乐园,平乐园,距14号线东段平乐园站450米,5,6,1,450
27,6100,55,15366-A,1室1卫,6/21层,丰台区,刘家窑,筑梦园,距5号线刘家窑站350米,6,21,1,350
28,1800,9,23736-B,3室1卫,4/20层,朝阳区,东坝中街,金驹家园,距6号线褡裢坡站4200米,4,20,1,4200
29,2140,11,11735-E,8室3卫,1/3层,朝阳区,双桥,水郡长安,距八通线双桥站800米,1,3,1,800
30,3420,10,807-C,4室1卫,14/16层,朝阳区,朝阳门,朝内小区,"距2号线,6号线朝阳门站300米",14,16,2,300
31,7010,42,142974-A,1室1卫,7/15层,海淀区,魏公村,私摩空间,距4号线大兴线魏公村站1050米,7,15,2,1050
32,2160,8,18862-C,3室1卫,14/29层,朝阳区,北岗子,恒大华府,"距12号线,平谷线北岗子站700米",14,29,2,700
33,4260,68,39378-A,1室1卫,4/6层,通州区,临河里,群芳园,距八通线临河里站1200米,4,6,1,1200
34,6790,57,50439-A,1室1卫,8/8层,朝阳区,百子湾,沿海赛洛城,距7号线百子湾站650米,8,8,1,650
35,1740,11,52110-A,3室1卫,3/6层,顺义区,石门,前进花园石门苑,距15号线石门站800米,3,6,1,800
36,8880,49,61851-A,1室1卫,6/9层,东城区,东四十条,东外公馆,"距2号线,3号线东四十条站750米",6,9,2,750
37,4550,42,121692-A,1室1卫,1/26层,朝阳区,草房,住欣家园,距6号线草房站450米,1,26,1,450
38,2890,13,1016-B,3室2卫,5/11层,朝阳区,高碑店,美丽亚洲假日花园,距八通线高碑店站650米,5,11,1,650
39,1900,10,124667-A,2室1卫,4/6层,通州区,梨园,葛布店东里,距八通线梨园站700米,4,6,1,700
40,8810,48,141534-A,1室1卫,23/34层,朝阳区,大望路,阳光100,"距1号线,14号线东段大望路站400米",23,34,2,400
41,2140,9,12952-B,3室1卫,2/27层,朝阳区,褡裢坡,泰福苑二区,距6号线褡裢坡站700米,2,27,1,700
42,11260,76,144657-A,2室1卫,20/28层,海淀区,知春路,碧兴园,"距13号线,10号线知春路站250米",20,28,2,250
43,9730,86,145264-A,2室1卫,2/28层,朝阳区,大郊亭,后现代城,距7号线大郊亭站650米,2,28,1,650
44,9730,88,146846-A,1室1卫,16/38层,朝阳区,大望路,soho现代城,"距1号线,14号线东段大望路站250米",16,38,2,250
45,8130,61,148064-A,2室1卫,1/6层,海淀区,圆明园,厢白旗甲1号院,距4号线大兴线圆明园站1850米,1,6,2,1850
46,4150,84,148207-A,2室1卫,4/6层,顺义区,顺义,双兴南区,距15号线顺义站1000米,4,6,1,1000
47,9680,103,149586-A,2室1卫,19/28层,朝阳区,双井,百环家园,"距7号线,10号线双井站550米",19,28,2,550
48,6530,41,150152-A,1室1卫,9/17层,海淀区,魏公村,私摩空间,距4号线大兴线魏公村站1050米,9,17,2,1050
49,10550,93,147896-A,2室1卫,16/32层,朝阳区,大望路,soho现代城,"距1号线,14号线东段大望路站250米",16,32,2,250
50,2970,15,30570-B,3室1卫,4/6层,朝阳区,东风北桥,酒仙桥三街坊,"距14号线东段,平谷线东风北桥站1350米",4,6,2,1350
51,2200,10,305-A,4室2卫,6/10层,朝阳区,常营,优点社区,距6号线常营站1050米,6,10,1,1050
52,2180,12,71239-A,3室1卫,7/11层,朝阳区,孙河,康营小区6区,距15号线孙河站1050米,7,11,1,1050
53,2260,8,129109-B,4室1卫,11/22层,丰台区,角门东,首座绿洲,距10号线角门东站750米,11,22,1,750
54,1260,7,46743-A,3室1卫,1/6层,顺义区,俸伯,彩俸南区,距15号线俸伯站1450米,1,6,1,1450
55,2620,7,55179-A,2室1卫,22/24层,西城区,湾子,太平桥东里,距7号线湾子站550米,22,24,1,550
56,7480,71,145647-A,2室1卫,3/7层,朝阳区,四惠,慈云寺,"距1号线,八通线四惠站900米",3,7,2,900
57,1330,14,47235-A,5室1卫,11/15层,房山区,良乡大学城西,瑞雪春堂,距房山线良乡大学城西站900米,11,15,1,900
58,1900,10,6843-C,5室1卫,6/6层,朝阳区,黄渠,常营民族家园CDF区,距6号线黄渠站750米,6,6,1,750
59,2190,11,118035-A,3室1卫,1/9层,顺义区,花梨坎,吉祥花园,距15号线花梨坎站450米,1,9,1,450
60,7760,65,9215-A,1室1卫,8/28层,朝阳区,东湖渠,博雅国际,距14号线东段东湖渠站400米,8,28,1,400
61,9660,88,146817-A,1室1卫,16/38层,朝阳区,大望路,soho现代城,"距1号线,14号线东段大望路站250米",16,38,2,250
62,1290,12,27023-A,5室2卫,1/2层,房山区,阎村,天恒乐活城,距燕房线阎村站200米,1,2,1,200
63,1810,10,43394-C,4室1卫,2/5层,大兴区,西红门,宏盛家园,距4号线大兴线西红门站900米,2,5,2,900
64,3080,8,67620-B,2室1卫,11/11层,东城区,安定门,安外西河沿,距2号线安定门站300米,11,11,1,300
65,2350,9,132379-B,3室1卫,20/26层,朝阳区,褡裢坡,泰福苑二区,距6号线褡裢坡站700米,20,26,1,700
66,1490,11,34125-C,3室1卫,3/6层,通州区,通州北关,刘庄新村,距6号线通州北关站2700米,3,6,1,2700
67,2580,10,34115-A,2室1卫,5/5层,东城区,景泰,永定门东街东里,距14号线东段景泰站900米,5,5,1,900
68,2490,12,36489-B,2室1卫,3/6层,石景山区,八角游乐园,八角中里,距1号线八角游乐园站900米,3,6,1,900
69,3960,51,37476-A,1室1卫,1/13层,通州区,北运河西,京艺天朗嘉园,距6号线北运河西站1300米,1,13,1,1300
70,7460,93,144428-A,2室1卫,16/28层,朝阳区,北工大西门,周庄嘉园C区,距14号线东段北工大西门站1300米,16,28,1,1300
71,2440,10,48376-C,4室1卫,7/27层,丰台区,方庄,芳城园一区,距14号线东段方庄站550米,7,27,1,550
72,1660,9,67429-B,2室1卫,1/6层,顺义区,顺义,胜利小区,距15号线顺义站700米,1,6,1,700
73,1580,10,78052-B,3室1卫,4/5层,顺义区,顺义,建新北区,距15号线顺义站700米,4,5,1,700
74,2260,11,1147-A,7室3卫,1/8层,朝阳区,黄渠,柏林爱乐二期,距6号线黄渠站850米,1,8,1,850
75,1680,10,32835-A,3室1卫,5/6层,朝阳区,八里桥,西马庄园,距八通线八里桥站1150米,5,6,1,1150
76,2080,11,4563-A,3室1卫,5/6层,朝阳区,孙河,康营小区,距15号线孙河站1000米,5,6,1,1000
77,1850,14,447-E,8室2卫,6/6层,昌平区,天通苑南,天通苑东一区,距5号线天通苑南站1650米,6,6,1,1650
78,3010,13,72888-B,2室1卫,4/6层,海淀区,田村,玉海园一里,距6号线田村站800米,4,6,1,800
79,2000,16,133781-B,4室1卫,3/6层,通州区,次渠,次渠怡芳园小区,"距亦庄线,17号线次渠站600米",3,6,2,600
80,2110,8,18877-C,3室1卫,28/29层,朝阳区,北岗子,恒大华府,"距12号线,平谷线北岗子站700米",28,29,2,700
81,3540,14,28438-D,5室1卫,3/8层,朝阳区,望京西,北京香颂,"距13号线,15号线望京西站550米",3,8,2,550
82,1410,10,24767-A,3室1卫,6/6层,顺义区,俸伯,港馨家园西区,距15号线俸伯站3250米,6,6,1,3250
83,4770,32,49724-A,1室1卫,3/9层,丰台区,公益西桥,三星庄园,距4号线大兴线公益西桥站1100米,3,9,2,1100
84,5630,46,18009-A,1室1卫,15/15层,东城区,景泰,华龙美晟,距14号线东段景泰站500米,15,15,1,500
85,4690,92,148494-A,1室1卫,8/20层,通州区,梨园,云景豪庭,距八通线梨园站600米,8,20,1,600
86,1380,12,22931-A,4室1卫,9/10层,顺义区,俸伯,港馨家园东区,距15号线俸伯站3050米,9,10,1,3050
87,2520,12,4964-C,5室1卫,7/9层,朝阳区,四惠,通惠家园惠润园,"距1号线,八通线四惠站650米",7,9,2,650
88,2560,10,132403-C,3室1卫,17/28层,朝阳区,北工大西门,周庄嘉园三期A区,距14号线东段北工大西门站1150米,17,28,1,1150
89,2020,8,21490-C,4室1卫,12/26层,丰台区,樊羊路,花香东苑,距房山线樊羊路站450米,12,26,1,450
90,1900,11,32406-B,2室1卫,3/6层,大兴区,黄村西大街,双河南里,距4号线大兴线黄村西大街站1250米,3,6,2,1250
91,7580,51,44134-A,1室1卫,12/14层,海淀区,长春桥,蜂鸟社区,"距10号线,12号线长春桥站650米",12,14,2,650
92,5750,47,69383-A,1室1卫,1/6层,朝阳区,十里堡,石佛营西里,距6号线十里堡站1150米,1,6,1,1150
93,2740,9,73392-A,3室1卫,10/24层,朝阳区,东风北桥,梵谷水郡,"距14号线东段,平谷线东风北桥站1800米",10,24,2,1800
94,2370,9,32231-A,3室1卫,8/11层,丰台区,草桥,草桥欣园四区,"距10号线,大兴机场线草桥站200米",8,11,2,200
95,1670,12,46022-C,3室1卫,4/11层,通州区,通州北关,K2清水湾,距6号线通州北关站1950米,4,11,1,1950
96,2440,10,53818-A,2室1卫,3/4层,石景山区,古城,古城南路,距1号线古城站500米,3,4,1,500
97,1860,17,116727-A,3室1卫,5/6层,通州区,九棵树,西营前街,距6号线北运河西站1900米,5,6,1,1900
98,2650,15,122093-C,3室1卫,4/21层,丰台区,七里庄,望园东里,"距9号线,14号线西段七里庄站250米",4,21,2,250
99,1850,10,25613-A,2室1卫,6/6层,通州区,通运门,中仓小区,距6号线通运门站250米,6,6,1,250
100,6140,35,37346-A,1室1卫,1/6层,朝阳区,红庙,光华路,"距1号线,14号线东段大望路站550米",1,6,2,550
101,4840,60,64648-A,1室1卫,12/20层,朝阳区,管庄,杨闸新村,距八通线管庄站650米,12,20,1,650
102,1770,10,74533-A,4室1卫,4/6层,顺义区,石门,万科四季花城,距15号线石门站450米,4,6,1,450
103,6340,50,134871-A,1室1卫,4/6层,朝阳区,安华桥,德胜门外大街1号院,"距8号线,12号线安华桥站950米",4,6,2,950
104,7300,38,17120-A,1室1卫,6/12层,朝阳区,青年路,小悦城中心,距6号线青年路站1350米,6,12,1,1350
105,1110,22,21205-D,5室1卫,5/5层,房山区,阎村,绿城百合公寓桂雨苑,距燕房线阎村站1000米,5,5,1,1000
106,2180,10,32218-A,3室1卫,3/6层,朝阳区,黄渠,常营民族家园CDF区,距6号线黄渠站750米,3,6,1,750
107,5010,48,53079-A,1室1卫,1/6层,朝阳区,黄渠,荟康苑,距6号线黄渠站800米,1,6,1,800
108,1800,9,135866-C,3室1卫,1/7层,通州区,通州北关,永顺东里2号院,距6号线通州北关站800米,1,7,1,800
109,2530,15,45355-C,4室1卫,1/20层,朝阳区,褡裢坡,福盈家园2号院,距6号线褡裢坡站550米,1,20,1,550
110,5070,51,124780-A,1室1卫,1/23层,朝阳区,传媒大学,北花园小区,距八通线传媒大学站600米,1,23,1,600
111,2290,15,29839-B,3室1卫,6/6层,朝阳区,常营,连心园西区,距6号线常营站800米,6,6,1,800
112,1930,11,46461-C,3室1卫,2/6层,通州区,果园,翠屏北里东区,距八通线果园站400米,2,6,1,400
113,1930,14,132454-A,3室1卫,4/6层,通州区,果园,北机家属院,距八通线果园站900米,4,6,1,900
114,1710,10,25041-C,3室1卫,6/30层,通州区,土桥,华远铭悦,距八通线土桥站950米,6,30,1,950
115,1660,9,26559-B,3室1卫,19/29层,通州区,通运门,京贸国际城东区,距6号线通运门站2400米,19,29,1,2400
116,2150,24,391-E,7室2卫,6/6层,昌平区,天通苑东,天通苑东二区,距17号线天通苑东站650米,6,6,1,650
117,1880,9,45762-B,3室1卫,3/7层,通州区,果园,达富苑,距八通线果园站250米,3,7,1,250
118,2320,13,64226-D,5室1卫,3/6层,大兴区,亦庄桥,星岛假日,距亦庄线亦庄桥站200米,3,6,1,200
119,2080,8,19279-C,3室1卫,15/25层,丰台区,樊羊路,花香东苑,距房山线樊羊路站450米,15,25,1,450
120,1810,16,22883-A,4室1卫,4/6层,通州区,土桥,小街之春,距八通线土桥站550米,4,6,1,550
121,2060,10,27067-A,3室1卫,26/31层,朝阳区,平房村,金隅汇景苑,"距14号线东段,平谷线东风北桥站4500米",26,31,2,4500
122,5370,48,44011-A,1室1卫,1/16层,朝阳区,传媒大学,北花园小区,距八通线传媒大学站600米,1,16,1,600
123,3180,23,62649-D,4室1卫,24/25层,朝阳区,四惠,力源里,"距1号线,八通线四惠站250米",24,25,2,250
124,2450,9,133157-B,3室1卫,5/6层,朝阳区,四惠东,康家园,"距1号线,八通线四惠东站300米",5,6,2,300
125,2160,13,18410-C,4室1卫,1/18层,大兴区,瀛海,南海家园二里,距亦庄线荣昌东街站3500米,1,18,1,3500
126,2410,16,68210-A,3室1卫,1/6层,朝阳区,常营,连心园西区,距6号线常营站800米,1,6,1,800
127,1460,15,67964-B,4室1卫,5/6层,顺义区,俸伯,滨河小区,距15号线俸伯站1600米,5,6,1,1600
128,2200,34,36659-E,5室1卫,6/7层,昌平区,天通苑东,天通苑东三区,距5号线天通苑南站2250米,6,7,1,2250
129,1710,9,146096-B,2室1卫,4/6层,通州区,梨园,葛布店东里,距八通线梨园站700米,4,6,1,700
130,1170,11,25912-B,3室1卫,5/8层,房山区,星城,东亚朗悦居,距燕房线星城站50米,5,8,1,50
131,2070,11,27928-A,4室1卫,5/28层,朝阳区,小红门,鸿博家园二期F区,距亦庄线小红门站550米,5,28,1,550
132,4360,60,47252-A,1室1卫,5/6层,通州区,果园,西总屯,距八通线果园站550米,5,6,1,550
133,9120,82,69566-A,1室1卫,11/22层,朝阳区,望京,望京西园三区,"距14号线东段,15号线望京站600米",11,22,2,600
134,1850,11,119252-A,2室1卫,2/6层,通州区,临河里,梨园东里,距八通线临河里站1050米,2,6,1,1050
135,2380,20,138150-A,4室1卫,4/6层,通州区,通州北关,西潞苑小区,距6号线通州北关站1950米,4,6,1,1950
136,3820,19,33925-B,4室1卫,22/22层,朝阳区,望京,望京西园三区,"距14号线东段,15号线望京站600米",22,22,2,600
137,1900,11,42974-A,5室1卫,23/30层,通州区,九棵树,玉兰湾,距八通线梨园站900米,23,30,1,900
138,1540,8,43928-A,3室1卫,2/6层,通州区,万盛东,群芳三园,距7号线万盛东站1100米,2,6,1,1100
139,1940,8,48653-C,4室1卫,4/28层,朝阳区,平房村,金隅汇景苑,"距14号线东段,平谷线东风北桥站4500米",4,28,2,4500
140,1760,9,152302-A,2室1卫,16/23层,通州区,土桥,华远铭悦,距八通线土桥站950米,16,23,1,950
141,5930,41,153116-A,1室1卫,5/15层,西城区,积水潭,五月华庭,"距2号线,19号线积水潭站500米",5,15,2,500
142,1910,13,29649-A,3室1卫,3/11层,通州区,北运河西,阳光好东东,距6号线北运河西站1150米,3,11,1,1150
143,3900,45,48264-A,1室1卫,1/27层,通州区,次渠南,次渠家园东里8区,距亦庄线次渠南站700米,1,27,1,700
144,3820,21,53314-A,2室1卫,22/24层,昌平区,天通苑,天通苑西三区,距5号线天通苑站350米,22,24,1,350
145,2340,11,5767-A,3室1卫,1/9层,朝阳区,星火,姚家园西里2号院,"距3号线,20号线星火站400米",1,9,2,400
146,3240,15,68830-B,2室1卫,3/8层,朝阳区,星火,金隅凤麟洲,"距3号线,20号线星火站550米",3,8,2,550
147,3080,9,10422-B,2室1卫,1/5层,朝阳区,金台夕照,呼家楼新街大院,距10号线金台夕照站600米,1,5,1,600
148,1870,9,129114-B,2室1卫,22/26层,通州区,土桥,华远铭悦,距八通线土桥站950米,22,26,1,950
149,1600,13,26998-B,3室1卫,6/6层,通州区,通州北关,潞苑嘉园,距6号线通州北关站2050米,6,6,1,2050
150,1420,12,33217-B,5室2卫,6/7层,通州区,通运门,新潮嘉园二期,距6号线通运门站4150米,6,7,1,4150
151,2450,15,3407-A,3室1卫,1/6层,朝阳区,草房,连心园东区,距6号线草房站500米,1,6,1,500
152,3010,11,41831-C,3室1卫,1/32层,朝阳区,九龙山,易构空间,"距7号线,14号线东段九龙山站700米",1,32,2,700
153,2370,8,42949-B,3室1卫,2/16层,丰台区,宋家庄,方泽园,"距5号线,10号线,亦庄线宋家庄站1050米",2,16,3,1050
154,5270,47,63570-A,1室1卫,3/6层,朝阳区,北工大西门,双龙南里,距14号线东段北工大西门站450米,3,6,1,450
155,1350,13,136638-D,4室1卫,8/15层,房山区,良乡大学城西,瑞雪春堂,距房山线良乡大学城西站900米,8,15,1,900
156,2390,8,1549-C,3室1卫,17/24层,朝阳区,十里堡,晨光家园,距6号线十里堡站550米,17,24,1,550
157,1970,10,25456-A,3室1卫,5/13层,朝阳区,东坝中街,北京城建福润四季,距3号线东坝中街站2800米,5,13,1,2800
158,2210,10,7026-B,4室1卫,2/18层,朝阳区,草房,保利嘉园1号院,距6号线草房站950米,2,18,1,950
159,2030,13,72942-A,4室1卫,9/13层,丰台区,和义,世界之花,距亦庄线肖村站2800米,9,13,1,2800
160,1570,10,75926-A,4室1卫,4/6层,大兴区,黄村西大街,观音寺小区,距4号线大兴线黄村西大街站1500米,4,6,2,1500
161,2330,9,151027-A,3室1卫,12/16层,丰台区,宋家庄,方泽园,"距5号线,10号线,亦庄线宋家庄站1050米",12,16,3,1050
162,7220,78,18769-A,2室1卫,16/28层,朝阳区,北苑路北,恒大名都,距5号线北苑路北站1200米,16,28,1,1200
163,2200,9,21495-A,3室1卫,20/22层,丰台区,樊羊路,花香东苑,距房山线樊羊路站450米,20,22,1,450
164,1960,13,27608-C,4室1卫,6/6层,通州区,通州北苑,新华西街55号院,距八通线通州北苑站900米,6,6,1,900
165,1460,10,37111-A,3室1卫,5/6层,通州区,通州北关,王家场,距6号线通州北关站2000米,5,6,1,2000
166,2670,10,43900-B,2室1卫,1/5层,朝阳区,传媒大学,定福庄西街,距八通线传媒大学站350米,1,5,1,350
167,2310,13,54783-B,3室1卫,1/11层,朝阳区,孙河,康营小区17区,距15号线孙河站1450米,1,11,1,1450
168,4200,54,57499-A,1室1卫,12/19层,通州区,物资学院路,金地格林格林,距6号线物资学院路站2950米,12,19,1,2950
169,1670,13,135777-C,3室1卫,1/15层,通州区,通州北关,西潞苑小区,距6号线通州北关站1950米,1,15,1,1950
170,3550,14,20797-D,5室1卫,11/27层,朝阳区,三元桥,国际港,"距10号线,12号线,机场线三元桥站300米",11,27,3,300
171,2240,18,21050-D,4室1卫,4/7层,昌平区,天通苑东,天通苑东二区,距17号线天通苑东站650米,4,7,1,650
172,1640,13,22203-C,4室1卫,4/6层,昌平区,天通苑北,蓬莱公寓东区,距5号线天通苑北站4550米,4,6,1,4550
173,2030,12,23111-D,4室1卫,1/18层,通州区,次渠南,次渠南里,距亦庄线次渠南站700米,1,18,1,700
174,1800,19,377-B,5室2卫,3/6层,通州区,果园,新华联家园南区,距八通线果园站650米,3,6,1,650
175,3640,49,35966-A,1室1卫,17/21层,丰台区,张郭庄,红山郡,距14号线西段张郭庄站1750米,17,21,1,1750
176,6960,40,44907-A,1室1卫,5/6层,朝阳区,潘家园,潘家园小区,距10号线潘家园站1000米,5,6,1,1000
177,1620,8,49740-B,3室1卫,4/6层,通州区,果园,后南仓,距八通线果园站1050米,4,6,1,1050
178,6590,42,57127-A,1室1卫,16/18层,西城区,木樨地,木樨地北里,距1号线木樨地站300米,16,18,1,300
179,2860,10,1200-B,3室1卫,7/12层,朝阳区,光熙门,西坝河中里,距13号线光熙门站900米,7,12,1,900
180,2220,21,137628-B,2室1卫,1/6层,通州区,通州北苑,北苑15号院,距八通线通州北苑站700米,1,6,1,700
181,1870,9,12412-B,2室1卫,4/6层,朝阳区,八里桥,温泉北里,距八通线八里桥站1800米,4,6,1,1800
182,1640,9,144291-B,3室1卫,4/6层,通州区,通运门,河畔丽景,距6号线通运门站1900米,4,6,1,1900
183,2010,15,1763-G,8室2卫,6/6层,昌平区,天通苑东,天通苑东二区,距17号线天通苑东站650米,6,6,1,650
184,2900,9,21305-B,2室1卫,3/4层,朝阳区,红庙,延静里中街,"距6号线,14号线东段金台路站800米",3,4,2,800
185,2070,8,21706-C,3室1卫,26/27层,丰台区,樊羊路,花香东苑,距房山线樊羊路站450米,26,27,1,450
186,6410,47,65199-A,1室1卫,6/6层,海淀区,花园桥,岭南路26号院,距6号线花园桥站700米,6,6,1,700
187,2430,11,78818-A,4室1卫,4/12层,丰台区,方庄,芳星园三区,距14号线东段方庄站650米,4,12,1,650
188,1600,10,140916-B,3室1卫,1/11层,昌平区,昌平东关,随园,距昌平线昌平东关站1000米,1,11,1,1000
189,2550,9,16787-D,4室1卫,8/14层,朝阳区,百子湾,沿海赛洛城,距7号线百子湾站650米,8,14,1,650
190,1760,5,27620-C,4室1卫,5/29层,朝阳区,北岗子,恒大华府,"距12号线,平谷线北岗子站700米",5,29,2,700
191,4030,50,56511-A,1室1卫,9/24层,通州区,通州北苑,鼎晟国际,距八通线通州北苑站1050米,9,24,1,1050
192,6260,43,63336-A,1室1卫,1/6层,海淀区,北沙滩,二里庄小区,距15号线北沙滩站650米,1,6,1,650
193,2780,9,67527-B,2室1卫,4/6层,朝阳区,平乐园,平乐园,距14号线东段平乐园站450米,4,6,1,450
194,1850,14,67923-A,2室1卫,1/6层,通州区,土桥,小街之春,距八通线土桥站550米,1,6,1,550
195,2500,11,7554-C,5室1卫,17/31层,朝阳区,传媒大学,珠江绿洲家园,距八通线传媒大学站550米,17,31,1,550
196,1840,12,122025-B,2室1卫,4/6层,通州区,梨园,云景西里,距八通线梨园站750米,4,6,1,750
197,2320,11,33814-B,4室1卫,2/5层,昌平区,回龙观东大街,龙锦苑东五区,距8号线回龙观东大街站1050米,2,5,1,1050
198,2600,7,51049-A,3室1卫,4/6层,朝阳区,金台路,秀水园,"距6号线,14号线东段金台路站450米",4,6,2,450
199,1580,11,57180-B,3室1卫,2/6层,通州区,万盛东,群芳三园,距7号线万盛东站1100米,2,6,1,1100
200,5280,69,64684-A,1室1卫,14/14层,丰台区,宋家庄,日新家园,"距5号线,10号线,亦庄线宋家庄站650米",14,14,3,650
201,2550,12,7554-D,5室1卫,17/31层,朝阳区,传媒大学,珠江绿洲家园,距八通线传媒大学站550米,17,31,1,550
202,2220,9,81279-B,4室1卫,1/21层,丰台区,首经贸,首经贸中街1号院,"距10号线,房山线首经贸站450米",1,21,2,450
203,2210,11,120069-B,4室1卫,5/21层,石景山区,八宝山,重聚园,距1号线八宝山站1600米,5,21,1,1600
204,6530,36,145811-A,1室1卫,4/5层,海淀区,魏公村,民族大学家属院,距4号线大兴线魏公村站1000米,4,5,2,1000
205,1930,8,19934-B,4室1卫,10/24层,丰台区,樊羊路,花香东苑,距房山线樊羊路站450米,10,24,1,450
206,1410,12,29858-C,3室1卫,6/6层,房山区,良乡大学城西,鸿顺园西区,距房山线良乡大学城西站350米,6,6,1,350
207,5980,41,48764-A,1室1卫,4/6层,海淀区,军事博物馆,乔建里,"距1号线,9号线军事博物馆站650米",4,6,2,650
208,2180,11,54253-A,4室1卫,6/6层,通州区,物资学院路,新建村小区,距6号线物资学院路站550米,6,6,1,550
209,1650,10,79776-B,3室1卫,3/6层,通州区,土桥,小街之春,距八通线土桥站550米,3,6,1,550
210,2570,12,13119-A,3室1卫,1/18层,朝阳区,十里堡,石佛营东里,距6号线十里堡站1400米,1,18,1,1400
211,1540,8,17342-A,4室1卫,6/6层,顺义区,石门,前进花园石门苑,距15号线石门站800米,6,6,1,800
212,1620,10,27714-B,3室1卫,1/10层,昌平区,南邵,兴昌佳苑,距昌平线南邵站1000米,1,10,1,1000
213,2470,11,29075-C,3室1卫,4/14层,朝阳区,褡裢坡,美然动力A2区,距6号线褡裢坡站350米,4,14,1,350
214,1980,13,33020-B,4室1卫,6/6层,朝阳区,小红门,燕归宁馨园,距亦庄线小红门站1200米,6,6,1,1200
215,2140,18,39263-A,2室1卫,6/6层,通州区,九棵树,西营前街,距6号线北运河西站1900米,6,6,1,1900
216,1670,7,47751-B,4室1卫,19/23层,通州区,梨园,园景东区,距八通线梨园站150米,19,23,1,150
217,2830,10,64888-C,3室1卫,21/28层,朝阳区,劲松,华腾园,距10号线劲松站450米,21,28,1,450
218,3940,38,71627-A,1室1卫,12/18层,丰台区,和义,世界之花,距亦庄线肖村站2800米,12,18,1,2800
219,8150,53,123984-A,2室1卫,3/5层,朝阳区,惠新西街南口,惠新里,"距5号线,10号线惠新西街南口站500米",3,5,2,500
220,1730,8,131096-B,2室1卫,1/6层,通州区,梨园,玉桥南里,距八通线梨园站1350米,1,6,1,1350
221,2370,17,18211-A,3室1卫,1/6层,朝阳区,常营,管庄东里,距6号线常营站700米,1,6,1,700
222,2740,15,19383-A,2室1卫,3/4层,朝阳区,常营,连心园西区,距6号线常营站800米,3,4,1,800
