价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6830,44,23889-A,1室1卫,3/6层,西城区,积水潭,新明胡同,"地铁：距2号线,19号线积水潭站1300米"
1550,10,24492-C,3室1卫,2/5层,顺义区,石门,西辛北区,地铁：距15号线石门站1100米
3130,9,22783-A,2室1卫,5/5层,朝阳区,芍药居,芍药居甲2号院,"地铁：距10号线,13号线芍药居站500米"
1320,9,33156-B,3室1卫,11/17层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米
2080,13,34663-B,5室1卫,3/4层,大兴区,旧宫,宣颐家园,地铁：距亦庄线旧宫站850米
2070,12,40378-B,4室1卫,5/6层,朝阳区,双桥,建东苑,地铁：距八通线双桥站950米
1350,15,43694-C,5室3卫,5/6层,房山区,苏庄,蓝光星华海悦城,地铁：距房山线苏庄站650米
1390,15,43694-E,5室3卫,5/6层,房山区,苏庄,蓝光星华海悦城,地铁：距房山线苏庄站650米
2510,12,48230-C,3室1卫,1/6层,朝阳区,黄渠,常营民族家园三期,地铁：距6号线黄渠站200米
2260,14,57364-C,4室1卫,3/13层,大兴区,亦庄桥,莱茵河畔,地铁：距亦庄线亦庄桥站800米
2560,15,6211-C,6室1卫,3/11层,丰台区,石榴庄,彩虹城三区,地铁：距10号线石榴庄站950米
2610,10,7677-A,2室1卫,9/18层,朝阳区,褡裢坡,泰福苑一区,地铁：距6号线褡裢坡站500米
2770,13,75797-B,5室1卫,25/33层,朝阳区,四惠,都会华庭,"地铁：距1号线,八通线四惠站750米"
2860,9,61702-B,2室1卫,3/5层,朝阳区,双井,垂杨柳北里,"地铁：距7号线,10号线双井站400米"
1550,10,119112-B,3室1卫,7/11层,通州区,土桥,欣桥家园,地铁：距八通线土桥站1150米
1660,13,124121-A,3室1卫,4/6层,通州区,梨园,艺苑西里,地铁：距八通线梨园站1200米
1460,9,125255-B,4室1卫,16/20层,房山区,长阳,长阳国际城,地铁：距房山线长阳站800米
2040,16,132338-A,2室1卫,4/5层,大兴区,黄村西大街,黄村西里,地铁：距4号线大兴线黄村西大街站500米
2100,9,137664-B,2室1卫,3/5层,石景山区,古城,古城特钢楼,地铁：距1号线古城站1150米
2620,14,1251-C,3室1卫,26/26层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米
4540,64,142611-A,2室1卫,1/6层,通州区,北运河西,上园200号院,地铁：距6号线北运河西站550米
1660,8,143115-A,2室1卫,7/14层,通州区,通州北关,东潞苑,地铁：距6号线通州北关站2350米
1640,12,146139-C,3室1卫,5/6层,通州区,物资学院路,永顺西里,地铁：距6号线物资学院路站1150米
2000,7,1827-B,4室1卫,4/17层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米
3030,17,19104-B,2室1卫,5/5层,东城区,天坛东门,天坛东里中区,地铁：距5号线天坛东门站700米
2180,12,30301-A,3室1卫,6/7层,朝阳区,高碑店,南太平庄北巷,地铁：距八通线高碑店站1100米
2290,12,268-C,7室4卫,5/6层,昌平区,天通苑南,天通苑四区,地铁：距5号线天通苑南站1050米
2240,10,32730-C,4室1卫,22/28层,朝阳区,小红门,鸿博家园二期D区,地铁：距亦庄线小红门站450米
3040,14,32972-B,2室1卫,4/5层,朝阳区,四惠,百子湾3号楼,"地铁：距6号线,17号线东大桥站4150米"
3010,8,3710-B,3室1卫,15/21层,朝阳区,安立路,慧忠北里,地铁：距15号线安立路站250米
3540,19,43256-D,4室1卫,15/24层,朝阳区,双井,广渠门外大街6号院,"地铁：距7号线,10号线双井站300米"
2380,12,48159-A,3室1卫,22/22层,海淀区,五棵松,西翠芳庭,地铁：距1号线五棵松站1750米
2120,11,4720-C,3室1卫,3/6层,朝阳区,孙河,康营小区,地铁：距15号线孙河站1000米
2360,11,4891-C,3室1卫,10/18层,朝阳区,星火,姚家园东里8号院,"地铁：距3号线,20号线星火站800米"
2710,9,71996-A,2室1卫,5/6层,海淀区,海淀五路居,永金里小区,地铁：距6号线海淀五路居站1300米
2800,18,75765-A,3室1卫,4/6层,石景山区,八宝山,鲁谷74号院,地铁：距1号线八宝山站800米
2270,15,8048-C,3室1卫,4/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
2040,6,8085-A,4室1卫,1/17层,朝阳区,立水桥南,溪城家园一号院,地铁：距5号线立水桥南站1100米
2280,9,8085-B,4室1卫,1/17层,朝阳区,立水桥南,溪城家园一号院,地铁：距5号线立水桥南站1100米
1910,9,8010-A,4室1卫,1/18层,通州区,次渠南,次渠锦园北区,地铁：距亦庄线次渠南站350米
2630,11,9085-C,3室1卫,8/16层,丰台区,公益西桥,枫竹苑二区,地铁：距4号线大兴线公益西桥站350米
1620,8,130872-B,2室1卫,3/6层,通州区,北运河西,玉桥北里,地铁：距6号线北运河西站1250米
3480,16,136082-B,2室1卫,4/6层,朝阳区,红庙,延静里中街,"地铁：距6号线,14号线东段金台路站800米"
2380,8,141783-C,4室1卫,6/30层,朝阳区,十里堡,晨光家园,地铁：距6号线十里堡站550米
8620,84,148526-A,2室1卫,12/28层,朝阳区,百子湾,石门新居,地铁：距7号线百子湾站250米
1430,10,18037-A,3室1卫,6/24层,房山区,良乡大学城,首创紫悦台,地铁：距房山线良乡大学城站550米
1590,8,20030-B,3室1卫,8/22层,通州区,万盛西,大方居,地铁：距7号线万盛西站1350米
2480,16,23548-A,3室1卫,5/5层,朝阳区,黄渠,常营民族家园三期,地铁：距6号线黄渠站200米
1500,11,26998-A,3室1卫,6/6层,通州区,通州北关,潞苑嘉园,地铁：距6号线通州北关站2050米
1890,15,32226-B,4室1卫,3/6层,顺义区,俸伯,裕龙六区,地铁：距15号线俸伯站1650米
2060,10,49155-B,2室1卫,6/16层,石景山区,金安桥,模式口西里,"地铁：距1号线,6号线苹果园站2200米"
5690,54,48463-A,1室1卫,8/18层,丰台区,宋家庄,政馨园一区,"地铁：距5号线,10号线,亦庄线宋家庄站400米"
1990,9,54226-A,3室1卫,5/6层,石景山区,古城,首钢古城西路,地铁：距1号线古城站950米
2210,12,58034-A,4室1卫,1/6层,大兴区,亦庄文化园,新康家园,地铁：距亦庄线亦庄文化园站750米
1630,8,68067-E,6室2卫,22/27层,大兴区,天宫院,保利春天里一区,地铁：距4号线大兴线天宫院站250米
2990,13,78947-A,3室1卫,4/18层,海淀区,永泰庄,海清园,地铁：距8号线永泰庄站1200米
3070,15,8147-A,3室1卫,22/23层,朝阳区,立水桥,北京北,"地铁：距13号线,5号线立水桥站500米"
2060,12,8010-D,4室1卫,1/18层,通州区,次渠南,次渠锦园北区,地铁：距亦庄线次渠南站350米
2470,9,8210-C,3室1卫,3/18层,丰台区,公益西桥,星河苑2号院,地铁：距4号线大兴线公益西桥站200米
6080,45,124085-A,1室1卫,4/6层,东城区,和平里北街,和平里五区,地铁：距5号线和平里北街站400米
1740,11,11123-A,4室1卫,6/6层,通州区,九棵树,翠屏南里,地铁：距八通线果园站1100米
1930,8,132975-A,3室1卫,3/15层,石景山区,苹果园,西山奥园,"地铁：距1号线,6号线苹果园站1150米"
4910,52,141263-A,1室1卫,2/9层,大兴区,亦庄文化园,听涛雅苑,地铁：距亦庄线亦庄文化园站950米
2580,13,141332-B,4室1卫,4/6层,丰台区,角门东,怡然家园5号院,地铁：距10号线角门东站400米
1840,14,149246-A,2室1卫,11/11层,通州区,通州北关,苏坨新村,地铁：距6号线通州北关站2800米
8520,91,151243-A,2室1卫,28/28层,朝阳区,百子湾,石门新居,地铁：距7号线百子湾站250米
3410,17,30485-B,2室1卫,2/6层,朝阳区,十里堡,十里堡东里,地铁：距6号线十里堡站700米
2400,18,29026-B,2室0卫,1/14层,通州区,高楼金,DBC加州小镇C区,地铁：距7号线高楼金站200米
2360,10,37972-A,2室1卫,2/5层,石景山区,古城,古城北路,地铁：距1号线古城站1150米
2100,13,43454-B,4室1卫,2/6层,通州区,北神树,小康东里,地铁：距亦庄线万源街站2700米
1450,15,47235-E,5室1卫,11/15层,房山区,良乡大学城西,瑞雪春堂,地铁：距房山线良乡大学城西站900米
3890,38,55706-A,1室1卫,10/12层,大兴区,旧宫,亦庄北岸,地铁：距亦庄线旧宫站1050米
1860,13,58006-B,4室1卫,2/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
